,SP,m_cap,m_bus,m_clock,PRICE
0,896.0,4.0,128.0,8.002,16298.0
1,768.0,4.0,128.0,7.007999999999999,12980.0
2,2304.0,8.0,256.0,8.0,17980.0
3,896.0,4.0,128.0,8.0,15417.0
4,2560.0,8.0,256.0,14.0,56980.0
5,1408.0,6.0,192.0,14.0,25691.0
6,4096.0,8.0,2048.0,0.945,29980.0
7,1408.0,6.0,192.0,14.0,25080.0
8,2560.0,8.0,256.0,14.0,48756.0
9,1536.0,6.0,192.0,12.0,29654.0
10,1408.0,6.0,192.0,14.0,27821.0
11,4096.0,8.0,2048.0,0.945,30798.0
12,2304.0,8.0,256.0,14.0,49808.0
13,896.0,4.0,128.0,8.0,17169.0
14,1408.0,6.0,192.0,14.002,26497.0
15,384.0,2.0,64.0,6.007999999999999,8778.0
16,2560.0,8.0,256.0,14.0,65978.0
17,1920.0,6.0,192.0,14.0,34980.0
18,2560.0,8.0,256.0,14.0,50600.0
19,2176.0,8.0,256.0,14.0,52778.0
20,2560.0,8.0,256.0,14.0,58278.0
21,2560.0,8.0,256.0,14.0,56078.0
22,1536.0,6.0,192.0,12.0,28800.0
23,4352.0,11.0,352.0,14.0,144730.0
24,2176.0,8.0,256.0,14.0,47718.0
25,768.0,4.0,128.0,7.0,11992.0
26,2304.0,8.0,256.0,8.0,20559.0
27,3072.0,8.0,256.0,15.5,84980.0
28,4352.0,11.0,352.0,14.0,154072.0
29,3072.0,8.0,256.0,15.5,96799.0
30,2560.0,8.0,256.0,14.0,61908.0
31,512.0,2.0,128.0,6.0,7464.0
32,896.0,2.0,128.0,6.0,9328.0
33,1408.0,6.0,192.0,8.002,23524.0
34,768.0,4.0,128.0,7.007999999999999,13178.0
35,1920.0,6.0,192.0,14.0,34430.0
36,384.0,2.0,64.0,6.007999999999999,8280.0
37,192.0,1.0,64.0,1.6,3498.0
38,1536.0,6.0,192.0,12.002,32978.0
39,1408.0,4.0,128.0,14.0,22000.0
40,1536.0,6.0,192.0,12.0,30580.0
41,896.0,4.0,128.0,8.0,14278.0
42,1280.0,4.0,128.0,12.0,20480.0
43,2560.0,8.0,256.0,14.0,58278.0
44,2304.0,8.0,256.0,8.0,19148.0
45,896.0,4.0,128.0,8.0,17590.0
46,1408.0,6.0,192.0,8.0,25980.0
47,768.0,4.0,128.0,7.007999999999999,11091.0
48,2304.0,8.0,256.0,8.0,21978.0
49,896.0,4.0,128.0,8.0,14980.0
50,4352.0,11.0,352.0,14.14,196538.0
51,1280.0,4.0,128.0,12.0,19800.0
52,2048.0,8.0,256.0,7.0,18678.0
53,640.0,2.0,128.0,6.0,9570.0
54,4352.0,11.0,352.0,14.8,208800.0
55,2304.0,8.0,256.0,14.0,39800.0
56,1408.0,6.0,192.0,14.0,28145.0
57,1408.0,4.0,128.0,14.0,22000.0
58,896.0,4.0,128.0,8.002,17050.0
59,1536.0,6.0,192.0,12.0,41580.0
60,2176.0,8.0,256.0,14.0,44800.0
61,192.0,2.0,64.0,1.6,4290.0
62,2176.0,8.0,256.0,14.0,45980.0
63,1408.0,6.0,192.0,14.0,27680.0
64,2176.0,8.0,256.0,14.0,49280.0
65,3072.0,8.0,256.0,15.5,83380.0
66,1920.0,6.0,192.0,14.0,34500.0
67,2176.0,8.0,256.0,14.0,45980.0
68,2560.0,8.0,256.0,14.0,53502.0
69,1408.0,4.0,128.0,14.0,22000.0
70,1408.0,8.0,128.0,14.0,24725.0
71,1536.0,6.0,192.0,12.002,29678.0
72,2176.0,8.0,256.0,14.0,47260.0
73,2304.0,8.0,256.0,14.0,38999.0
74,2176.0,8.0,256.0,14.0,47960.0
75,192.0,1.0,64.0,1.0,3311.0
76,2560.0,8.0,256.0,14.0,69827.0
77,1280.0,4.0,128.0,12.0,21171.0
78,1920.0,6.0,192.0,14.0,38480.0
79,1408.0,8.0,128.0,14.4,32713.0
80,1920.0,6.0,192.0,14.0,39980.0
81,4352.0,11.0,352.0,14.0,162799.0
82,4352.0,11.0,352.0,14.14,178107.0
83,1408.0,6.0,192.0,14.0,25980.0
84,2560.0,8.0,256.0,14.0,60478.0
85,1536.0,6.0,192.0,12.002,37398.0
86,2304.0,8.0,256.0,14.0,39389.0
87,2560.0,8.0,256.0,14.0,58800.0
88,2560.0,8.0,256.0,14.0,59800.0
89,2560.0,8.0,256.0,15.5,79750.0
90,3072.0,8.0,256.0,15.5,85851.0
91,2560.0,8.0,256.0,14.0,45800.0
92,3072.0,8.0,256.0,15.5,98978.0
93,1280.0,4.0,128.0,12.0,21477.0
94,1408.0,6.0,192.0,8.0,24728.0
95,2304.0,8.0,256.0,14.0,39980.0
96,3072.0,8.0,256.0,15.5,82500.0
97,2048.0,4.0,256.0,1.75,16500.0
98,2560.0,8.0,256.0,14.0,62189.0
99,1920.0,6.0,192.0,14.0,35979.0
100,1408.0,6.0,192.0,14.002,30281.0
101,2560.0,8.0,256.0,14.0,47080.0
102,1408.0,6.0,192.0,8.002,25278.0
103,2560.0,8.0,256.0,14.0,74700.0
104,3072.0,8.0,256.0,15.5,78101.0
105,192.0,2.0,64.0,5.012,5283.0
106,2048.0,8.0,256.0,7.0,19059.0
107,1536.0,6.0,192.0,12.002,31020.0
108,4352.0,11.0,352.0,14.0,131470.0
109,896.0,4.0,128.0,8.0,17895.0
110,1408.0,8.0,128.0,14.0,27499.0
111,192.0,1.0,64.0,5.0,3422.0
112,1024.0,2.0,128.0,6.0,9579.0
113,896.0,4.0,128.0,8.002,20539.0
114,1280.0,4.0,128.0,12.002,22332.0
115,1408.0,6.0,192.0,8.0,25578.0
116,2176.0,8.0,256.0,14.0,52786.0
117,2176.0,8.0,256.0,14.0,57915.0
118,4352.0,11.0,352.0,14.14,188585.0
119,384.0,2.0,64.0,6.0,8514.0
120,768.0,4.0,128.0,3.5,16628.0
121,896.0,4.0,128.0,8.0,22800.0
122,1536.0,6.0,192.0,12.0,29800.0
123,1536.0,6.0,192.0,12.0,31280.0
124,2176.0,8.0,256.0,14.0,46200.0
125,2176.0,8.0,256.0,14.0,50600.0
126,3072.0,8.0,256.0,15.5,83930.0
127,4352.0,11.0,352.0,14.0,142669.0
128,1408.0,6.0,192.0,8.002,25489.0
129,1408.0,8.0,128.0,14.0,28143.0
130,2176.0,8.0,256.0,14.0,59187.0
131,384.0,2.0,64.0,6.007999999999999,9022.0
132,2304.0,8.0,256.0,14.0,49940.0
133,2176.0,8.0,256.0,14.0,49980.0
134,2560.0,8.0,256.0,14.0,60980.0
135,192.0,2.0,64.0,2.5,4580.0
136,1280.0,4.0,128.0,12.002,21402.0
137,1408.0,8.0,128.0,14.0,27392.0
138,1536.0,6.0,192.0,12.0,35017.0
139,2304.0,8.0,256.0,14.0,41390.0
140,2176.0,8.0,256.0,14.0,49377.0
141,192.0,2.0,64.0,1.0,4089.0
142,192.0,1.0,32.0,5.012,4125.0
143,896.0,4.0,128.0,8.002,18086.0
144,2176.0,8.0,256.0,14.0,58800.0
145,3840.0,16.0,4096.0,1.0,97598.0
146,1408.0,6.0,192.0,14.002,30602.0
147,2560.0,8.0,256.0,14.0,47980.0
148,2304.0,8.0,256.0,14.0,51874.0
149,2560.0,8.0,256.0,14.0,59840.0
150,896.0,4.0,128.0,8.002,17152.0
151,1920.0,6.0,192.0,14.0,39980.0
152,2560.0,8.0,256.0,14.0,67422.0
153,2944.0,8.0,256.0,14.0,86500.0
154,3072.0,8.0,256.0,15.5,102290.0
155,384.0,2.0,64.0,6.007999999999999,9699.0
156,1408.0,6.0,192.0,14.0,28800.0
157,1920.0,6.0,192.0,14.0,43978.0
158,2176.0,8.0,256.0,14.0,49800.0
159,2304.0,8.0,256.0,14.0,59280.0
160,1536.0,6.0,192.0,12.002,34980.0
161,2176.0,8.0,256.0,14.0,48369.0
162,2560.0,8.0,256.0,14.4,65780.0
163,2560.0,8.0,256.0,14.0,66800.0
164,4352.0,11.0,352.0,14.0,146707.0
165,896.0,4.0,128.0,8.0,21800.0
166,896.0,4.0,128.0,8.002,21980.0
167,1408.0,8.0,128.0,14.0,27500.0
168,1536.0,6.0,192.0,12.0,36406.0
169,2560.0,8.0,256.0,14.0,51762.0
170,4352.0,11.0,352.0,14.0,153395.0
171,2304.0,8.0,256.0,14.0,41753.0
172,3584.0,8.0,2048.0,0.8,70628.0
173,2944.0,8.0,256.0,14.0,78078.0
174,896.0,4.0,128.0,8.0,16980.0
175,1408.0,6.0,192.0,14.0,30980.0
176,1536.0,6.0,192.0,12.0,34602.0
177,2560.0,8.0,256.0,14.0,52749.0
178,4096.0,8.0,2048.0,1.9,60414.0
179,2560.0,8.0,256.0,14.0,65978.0
180,192.0,2.0,64.0,1.6,4200.0
181,1408.0,6.0,192.0,14.0,32980.0
182,1280.0,4.0,128.0,12.0,19990.0
183,1408.0,6.0,192.0,14.0,27800.0
184,2304.0,8.0,256.0,14.0,48076.0
185,2560.0,8.0,256.0,14.0,65480.0
186,3072.0,8.0,256.0,15.5,89800.0
187,4352.0,11.0,352.0,14.0,173857.0
188,160.0,1.0,64.0,1.334,3480.0
189,384.0,2.0,64.0,6.007999999999999,10492.0
190,1280.0,4.0,128.0,12.0,21626.0
191,2304.0,8.0,256.0,8.0,23066.0
192,1280.0,4.0,128.0,12.0,24177.0
193,2304.0,8.0,256.0,8.0,24138.0
194,1408.0,4.0,128.0,14.0,25069.0
195,2304.0,8.0,256.0,8.0,26760.0
196,1408.0,6.0,192.0,14.0,34595.0
197,1536.0,6.0,192.0,12.0,35935.0
198,1920.0,6.0,192.0,14.0,38478.0
