,SP,m_cap,m_bus,m_clock,PRICE
0,896.0,4.0,128.0,8002.000000000001,15980.0
1,2304.0,8.0,256.0,8000.0,18616.0
2,2560.0,8.0,256.0,14000.0,45890.0
3,1408.0,6.0,192.0,14000.0,25581.0
4,896.0,4.0,128.0,8000.0,16500.0
5,2560.0,8.0,256.0,14000.0,56980.0
6,768.0,4.0,128.0,7008.0,12980.0
7,1536.0,6.0,192.0,12000.0,29595.0
8,2560.0,8.0,256.0,14000.0,65978.0
9,1408.0,6.0,192.0,14000.0,25691.0
10,1408.0,6.0,192.0,14000.0,27821.0
11,2304.0,8.0,256.0,14000.0,49808.0
12,896.0,4.0,128.0,8000.0,14278.0
13,4096.0,8.0,2048.0,945.0,30798.0
14,896.0,4.0,128.0,8000.0,17170.0
15,384.0,2.0,64.0,6008.0,8778.0
16,4096.0,8.0,2048.0,945.0,29980.0
17,2560.0,8.0,256.0,14000.0,46460.0
18,2304.0,8.0,256.0,8000.0,22163.0
19,768.0,4.0,128.0,7008.0,12078.0
20,4352.0,11.0,352.0,14000.0,154072.0
21,3072.0,8.0,256.0,15500.0,78101.0
22,896.0,2.0,128.0,6000.0,9328.0
23,2560.0,8.0,256.0,14000.0,62051.0
24,3072.0,8.0,256.0,15500.0,92516.0
25,2560.0,8.0,256.0,14000.0,56078.0
26,768.0,4.0,128.0,7000.0,12628.0
27,2176.0,8.0,256.0,14000.0,52778.0
28,384.0,2.0,64.0,6008.0,7980.0
29,192.0,1.0,64.0,1600.0,3498.0
30,1408.0,4.0,128.0,14000.0,22000.0
31,1408.0,6.0,192.0,8000.0,30745.0
32,1408.0,6.0,192.0,8002.000000000001,23524.0
33,2176.0,8.0,256.0,14000.0,47205.0
34,4352.0,11.0,352.0,14000.0,142994.0
35,512.0,2.0,128.0,6000.0,7260.0
36,1920.0,6.0,192.0,14000.0,35980.0
37,1408.0,6.0,192.0,14002.0,25038.0
38,2304.0,8.0,256.0,8000.0,19148.0
39,896.0,4.0,128.0,8000.0,14980.0
40,2304.0,8.0,256.0,14000.0,38178.0
41,1280.0,4.0,128.0,12000.0,20480.0
42,1920.0,6.0,192.0,14000.0,34430.0
43,1536.0,6.0,192.0,12002.0,32978.0
44,2176.0,8.0,256.0,14000.0,45980.0
45,2304.0,8.0,256.0,14000.0,38999.0
46,2560.0,8.0,256.0,14000.0,58867.0
47,1408.0,4.0,128.0,14000.0,22000.0
48,2048.0,8.0,256.0,7000.0,35871.0
49,2560.0,8.0,256.0,14000.0,61908.0
50,768.0,4.0,128.0,7008.0,13178.0
51,896.0,4.0,128.0,8000.0,17590.0
52,1280.0,4.0,128.0,12000.0,19800.0
53,1408.0,8.0,128.0,14000.0,24725.0
54,1536.0,6.0,192.0,12000.0,30580.0
55,2304.0,8.0,256.0,8000.0,21978.0
56,1408.0,4.0,128.0,14000.0,22000.0
57,4352.0,11.0,352.0,14140.0,196538.0
58,896.0,4.0,128.0,8002.000000000001,17050.0
59,4352.0,11.0,352.0,14800.0,208800.0
60,2176.0,8.0,256.0,14000.0,45980.0
61,192.0,1.0,64.0,1000.0,3280.0
62,1920.0,6.0,192.0,14000.0,38408.0
63,2304.0,8.0,256.0,14000.0,39800.0
64,2560.0,8.0,256.0,14000.0,69827.0
65,1408.0,6.0,192.0,14000.0,28145.0
66,192.0,2.0,64.0,1600.0,4290.0
67,1280.0,4.0,128.0,12000.0,21171.0
68,2176.0,8.0,256.0,14000.0,44800.0
69,4352.0,11.0,352.0,14000.0,162799.0
70,4352.0,11.0,352.0,14140.0,178107.0
71,192.0,1.0,64.0,5000.0,3380.0
72,3072.0,8.0,256.0,15500.0,85850.0
73,3072.0,8.0,256.0,15500.0,98978.0
74,640.0,2.0,128.0,6000.0,9570.0
75,1536.0,6.0,192.0,12002.0,29678.0
76,2560.0,8.0,256.0,14000.0,60478.0
77,3072.0,8.0,256.0,15500.0,83380.0
78,2560.0,8.0,256.0,14000.0,53502.0
79,1408.0,6.0,192.0,14002.0,30281.0
80,2560.0,8.0,256.0,14000.0,48378.0
81,2176.0,8.0,256.0,14000.0,49280.0
82,2048.0,8.0,256.0,7000.0,19059.0
83,1536.0,6.0,192.0,12000.0,41580.0
84,1408.0,6.0,192.0,14000.0,25980.0
85,2560.0,8.0,256.0,15500.0,79750.0
86,1408.0,6.0,192.0,8000.0,24728.0
87,1408.0,6.0,192.0,14000.0,27680.0
88,2048.0,4.0,256.0,1750.0,36055.0
89,2560.0,8.0,256.0,14000.0,59800.0
90,1920.0,6.0,192.0,14000.0,34800.0
91,1536.0,6.0,192.0,12002.0,37398.0
92,896.0,4.0,128.0,8000.0,19483.0
93,768.0,4.0,128.0,3500.0,16628.0
94,1408.0,8.0,128.0,14000.0,27499.0
95,1408.0,8.0,128.0,14400.0,32549.0
96,2560.0,8.0,256.0,14000.0,58800.0
97,3072.0,8.0,256.0,15500.0,83930.0
98,1920.0,6.0,192.0,14000.0,35979.0
